,분기,행정동_코드_명,업종,연령대_10_매출_금액,연령대_20_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수
6484,1,당산1동,중식음식점,8523766,95075884,751,6276
6485,1,당산1동,스포츠 강습,0,0,0,0
6486,1,당산2동,문구,3425558,34330626,455,3672
6487,1,대림2동,육류판매,65600,35387273,10,1128
6488,1,당산2동,미용실,2871541,138342607,67,1669
6489,1,대림1동,문구,0,35565241,0,4616
6490,1,대림1동,미곡판매,0,0,0,0
6491,1,대림2동,슈퍼마켓,8601621,329128599,1065,24473
6492,1,대림2동,시계및귀금속,0,46625,0,7
6493,1,대림3동,커피-음료,2080099,74666622,289,11829
6494,1,대림3동,치킨전문점,181203,3893032,7,145
